,city,lat,lon,score
224,"Kenner, Louisiana",,,55.3745600920452
225,"Lafayette, Louisiana",,,39.506684732481
226,"Lake Charles, Louisiana",30.2265949,-93.2173758,41.8598981064009
227,"Metairie, Louisiana",29.9840922,-90.1528519,66.2033424823605
228,"New Orleans, Louisiana",29.95106579999999,-90.0715323,29.758876911572298
229,"Shreveport, Louisiana",32.5251516,-93.7501789,39.6751129577392
230,"Portland, Maine",43.66147100000001,-70.2553259,31.334573957093898
231,"Baltimore, Maryland",39.2903848,-76.6121893,29.898366895197
232,"Glen Burnie, Maryland",39.1626084,-76.6246886,65.9590285216198
233,"Boston, Massachusetts",42.3600825,-71.0588801,30.758475157030897
234,"Brockton, Massachusetts",42.0834335,-71.0183787,40.0795804573842
235,"Cambridge, Massachusetts",42.3736158,-71.10973349999999,51.2459812127297
236,"Fall River, Massachusetts",,,17.982500834788002
237,"Lawrence, Massachusetts",42.7070354,-71.1631137,14.3055095408532
238,"Lowell, Massachusetts",42.6334247,-71.31617179999999,33.2408208124914
239,"Lynn, Massachusetts",42.46676300000001,-70.9494938,45.9090666064562
240,"New Bedford, Massachusetts",41.6362152,-70.93420499999999,22.266912411777202
241,"Quincy, Massachusetts",42.2528772,-71.0022705,64.4894297795146
242,"Springfield, Massachusetts",42.1014831,-72.589811,20.685448507767898
243,"Worcester, Massachusetts",42.2625932,-71.8022934,26.456957073875
244,"Ann Arbor, Michigan",42.2808256,-83.7430378,66.740425145671
245,"Dearborn, Michigan",42.3222599,-83.17631449999999,32.335027490563604
246,"Detroit, Michigan",42.331427,-83.0457538,15.008730994435199
247,"Farmington Hills, Michigan",,,75.1742692568145
248,"Flint, Michigan",,,18.2930547291796
249,"Grand Rapids, Michigan",42.9633599,-85.6680863,29.456651222610503
250,"Kalamazoo, Michigan",42.2917069,-85.5872286,24.810247620563104
251,"Lansing, Michigan",42.732535,-84.5555347,29.841947037681198
252,"Livonia, Michigan",42.36837,-83.35270969999999,77.3495305374942
253,"Southfield, Michigan",42.4733688,-83.2218731,64.4848129357452
254,"Sterling Heights, Michigan",42.5803122,-83.0302033,56.870334703481504
255,"Warren, Michigan",42.5144566,-83.01465259999999,42.5761291360216
256,"Westland, Michigan",42.32420399999999,-83.400211,46.152243796276906
257,"Wyoming, Michigan",42.9133602,-85.7053085,45.4531492598987
258,"Duluth, Minnesota",46.78667189999999,-92.1004852,36.368007221490295
259,"Minneapolis, Minnesota",,,28.196562998324698
260,"Rochester, Minnesota",,,60.92619258780089
261,"St. Paul, Minnesota",44.9537029,-93.0899578,30.4375195379759
262,"Gulfport, Mississippi",30.3674198,-89.0928155,38.2591308188746
263,"Jackson, Mississippi",32.2987573,-90.1848103,26.533787605175
264,"Columbia, Missouri",38.9517053,-92.3340724,42.960311849861405
265,"Independence, Missouri",39.0911161,-94.41550679999999,55.8126389311884
266,"Kansas City, Missouri",39.0997265,-94.5785667,50.0164315007574
267,"Lee's Summit, Missouri",38.9108408,-94.3821724,98.7595797144688
268,"St. Joseph, Missouri",39.7674578,-94.84668099999999,39.1128291656669
269,"St. Louis, Missouri",38.6270025,-90.19940419999999,24.084618067400605
270,"Springfield, Missouri",37.2089572,-93.29229889999999,31.7217124074435
271,"Billings, Montana",,,62.0214828652341
272,"Missoula, Montana",,,54.53680701489329
273,"Lincoln, Nebraska",40.8257625,-96.6851982,63.8119903242838
274,"Omaha, Nebraska",41.2523634,-95.99798829999999,54.065146095222
275,"Henderson, Nevada",36.0395247,-114.9817213,86.18988321623709
276,"Las Vegas, Nevada",36.1699412,-115.1398296,58.9081259416949
277,"North Las Vegas, Nevada",36.1988592,-115.1175013,59.0828832002779
278,"Paradise, Nevada",36.0971945,-115.1466648,59.494941034629704
279,"Reno, Nevada",39.5296329,-119.8138027,53.436396797083795
280,"Sparks, Nevada",39.5349112,-119.7526886,61.697541105623706
281,"Spring Valley, Nevada",36.1080258,-115.2450006,73.6712050669007
282,"Sunrise Manor, Nevada",36.2110819,-115.0730563,43.858181804211
283,"Manchester, New Hampshire",,,48.150690169143
284,"Nashua, New Hampshire",,,55.5633017116792
285,"Camden, New Jersey",39.9259463,-75.1196199,11.321980258949099
286,"East Orange, New Jersey",40.767323,-74.2048677,38.4789818007284
287,"Elizabeth, New Jersey",40.6639916,-74.2107006,33.8953153645966
288,"Jersey City, New Jersey",40.72815749999999,-74.0776417,37.604800277936704
289,"Newark, New Jersey",40.735657,-74.1723667,31.7080995776443
290,"Paterson, New Jersey",40.9167654,-74.17181099999999,15.8467215018327
291,"Toms River, New Jersey",39.9537358,-74.1979458,71.652352414134
292,"Trenton, New Jersey",40.2170534,-74.7429384,25.133872287548105
293,"Albuquerque, New Mexico",35.0853336,-106.6055534,53.780751466406095
294,"Las Cruces, New Mexico",32.3199396,-106.7636538,44.4362533053837
295,"Rio Rancho, New Mexico",,,86.5580099203571
296,"Santa Fe, New Mexico",,,63.1073848030827
297,"Albany, New York",42.6525793,-73.7562317,32.1388569643609
298,"Buffalo, New York",42.88644679999999,-78.8783689,24.934774954064103
299,"Cheektowaga, New York",42.9026136,-78.74457199999999,60.7562005966853
300,"New Rochelle, New York",40.9114882,-73.7823549,63.01621450139171
301,"New York, New York",36.1023715,-115.1745559,34.265232558310196
302,"Rochester, New York",43.16103,-77.6109219,17.0330156001253
303,"Schenectady, New York",42.8142432,-73.9395687,34.783354686391895
304,"Syracuse, New York",43.0481221,-76.14742439999999,20.027403919964897
305,"Yonkers, New York",40.9312099,-73.89874689999999,54.464712272823
306,"Asheville, North Carolina",35.5950581,-82.5514869,46.4524634938215
307,"Cary, North Carolina",,,100.0
308,"Charlotte, North Carolina",35.2270869,-80.8431267,49.903146686352905
309,"Concord, North Carolina",35.4087517,-80.579511,58.0383313342852
310,"Durham, North Carolina",35.9940329,-78.898619,49.372046391586
311,"Fayetteville, North Carolina",35.0526641,-78.87835849999999,53.5973905781254
312,"Gastonia, North Carolina",35.262082,-81.18730049999999,37.312455346535394
313,"Greensboro, North Carolina",36.0726354,-79.7919754,45.9678307828902
314,"Greenville, North Carolina",35.612661,-77.3663538,28.5950603651442
315,"High Point, North Carolina",35.9556923,-80.0053176,39.8380204440748
316,"Raleigh, North Carolina",35.7795897,-78.6381787,62.8921952226196
317,"Wilmington, North Carolina",34.2257255,-77.9447102,41.4092832307529
318,"Winston-Salem, North Carolina",,,41.548057596917
319,"Fargo, North Dakota",,,58.7022400667068
320,"Akron, Ohio",41.0814447,-81.51900529999999,31.368198057630803
321,"Canton, Ohio",40.79894729999999,-81.378447,22.484384194640302
322,"Cincinnati, Ohio",39.1031182,-84.5120196,22.140258472157
323,"Cleveland, Ohio",41.49932,-81.6943605,11.7694305700479
324,"Columbus, Ohio",39.9611755,-82.99879419999999,42.2016462110301
325,"Dayton, Ohio",39.7589478,-84.1916069,19.169162275810898
326,"Lorain, Ohio",41.452819,-82.1823746,33.5362760790178
327,"Parma, Ohio",41.4047742,-81.7229086,61.31907079109511
328,"Toledo, Ohio",41.6639383,-83.55521200000001,30.481557878822798
329,"Youngstown, Ohio",41.0997803,-80.6495194,18.5078219809198
330,"Broken Arrow, Oklahoma",,,89.3998432950541
331,"Lawton, Oklahoma",,,55.15607728136
332,"Norman, Oklahoma",35.2225668,-97.4394777,63.922504606341
333,"Oklahoma City, Oklahoma",35.4675602,-97.5164276,52.2462734227565
334,"Tulsa, Oklahoma",36.1539816,-95.99277500000001,52.850727303280294
335,"Beaverton, Oregon",45.48706199999999,-122.8037102,60.86244195418
336,"Bend, Oregon",44.0581728,-121.3153096,56.144114544421996
337,"Eugene, Oregon",44.0520691,-123.0867536,38.7025475933985
338,"Gresham, Oregon",45.5001357,-122.4302013,51.81792472944671
339,"Hillsboro, Oregon",45.5228939,-122.989827,62.252295395760704
340,"Medford, Oregon",42.3265152,-122.8755949,46.06006333112779
341,"Portland, Oregon",45.5230622,-122.6764816,46.3668665209388
342,"Salem, Oregon",44.9428975,-123.0350963,50.894761944196794
343,"Allentown, Pennsylvania",40.6084305,-75.4901833,24.1220520351255
344,"Bethlehem, Pennsylvania",40.6259316,-75.37045789999999,35.8284072766006
345,"Erie, Pennsylvania",42.12922409999999,-80.085059,27.786450277620503
346,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,27.8200068381602
347,"Pittsburgh, Pennsylvania",40.44062479999999,-79.9958864,41.551408402733
348,"Reading, Pennsylvania",,,0.0
349,"Scranton, Pennsylvania",,,36.881604559995
350,"Cranston, Rhode Island",41.7798226,-71.4372796,65.2898804894333
351,"Pawtucket, Rhode Island",41.878711,-71.38255579999999,30.8983710165696
352,"Providence, Rhode Island",41.8239891,-71.4128343,14.3658998261424
353,"Warwick, Rhode Island",41.7001009,-71.4161671,69.58642987986421
354,"Charleston, South Carolina",32.7764749,-79.93105120000001,56.132314508762796
355,"Columbia, South Carolina",34.0007104,-81.0348144,32.8104148341901
356,"North Charleston, South Carolina",32.8546197,-79.9748103,34.289043373140395
357,"Rapid City, South Dakota",44.0805434,-103.2310149,59.7946538803127
358,"Sioux Falls, South Dakota",43.5445959,-96.73110340000001,62.94602080028461
359,"Chattanooga, Tennessee",35.0456297,-85.3096801,35.91805040782621
360,"Clarksville, Tennessee",,,58.327598596654205
361,"Jackson, Tennessee",,,31.076363968284998
362,"Johnson City, Tennessee",36.3134397,-82.3534727,38.469024176286794
363,"Knoxville, Tennessee",35.9606384,-83.9207392,30.0539294007803
364,"Memphis, Tennessee",35.1495343,-90.0489801,34.2464020941437
365,"Murfreesboro, Tennessee",35.8456213,-86.39027,54.837470349918
366,"Nashville-Davidson metropolitan government (balance), Tennessee",36.1117973,-86.693123,46.1316625772513
367,"Abilene, Texas",32.4487364,-99.73314390000002,40.0779861418222
368,"Amarillo, Texas",35.2219971,-101.8312969,56.937452992413796
369,"Arlington, Texas",32.735687,-97.10806559999999,57.882015050769
370,"Austin, Texas",30.267153,-97.7430608,54.99953031225229
371,"Baytown, Texas",29.7355047,-94.97742740000001,37.3755147776461
372,"Beaumont, Texas",,,44.1519445239365
373,"Brownsville, Texas",25.9017472,-97.4974838,10.1450571330769
374,"Bryan, Texas",30.6743643,-96.3699632,39.3826721311453
375,"Carrollton, Texas",32.9756415,-96.8899636,90.6486310835004
376,"Corpus Christi, Texas",27.8005828,-97.39638099999999,46.588174688322894
377,"Dallas, Texas",32.7766642,-96.79698789999999,34.548895839895
378,"Denton, Texas",33.2148412,-97.13306829999999,61.0804228955229
379,"Edinburg, Texas",26.3017374,-98.1633432,30.7811761824576
380,"El Paso, Texas",31.7618778,-106.4850217,33.885476952053295
381,"Fort Worth, Texas",32.7554883,-97.3307658,44.8559382715145
382,"Garland, Texas",32.912624,-96.63888329999999,65.40232870908049
383,"Grand Prairie, Texas",,,60.4784031028531
384,"Harlingen, Texas",,,25.0851328520994
385,"Houston, Texas",29.7604267,-95.3698028,38.442195684625
386,"Irving, Texas",32.8140177,-96.9488945,58.8518166185173
387,"Killeen, Texas",31.1171194,-97.72779589999999,72.6401490114459
388,"Laredo, Texas",27.5305671,-99.48032409999999,20.0481021623015
389,"Lewisville, Texas",33.046233,-96.994174,87.9296836726513
390,"Longview, Texas",32.5007037,-94.74048909999999,41.6878521876314
391,"Lubbock, Texas",33.5778631,-101.8551665,48.5695963147745
392,"McAllen, Texas",26.2034071,-98.23001239999999,26.0603059397903
393,"McKinney, Texas",33.1972465,-96.6397822,85.5328259665228
394,"Mesquite, Texas",32.76679550000001,-96.5991593,69.5275643716341
395,"Midland, Texas",,,63.11476800573521
396,"Mission, Texas",26.2159066,-98.32529319999999,14.569769133919001
397,"North Richland Hills, Texas",32.8342952,-97.2289029,86.3528088443452
398,"Odessa, Texas",31.8456816,-102.3676431,51.472858132309895
399,"Pasadena, Texas",29.6910625,-95.2091006,45.6180715524741
400,"Pharr, Texas",26.1947962,-98.1836216,11.7849834421146
401,"Plano, Texas",33.0198431,-96.6988856,81.8198550148238
402,"Richardson, Texas",32.9483335,-96.7298519,90.7281047234565
403,"Round Rock, Texas",30.5082551,-97.678896,73.17381373889259
404,"San Angelo, Texas",31.4637723,-100.4370375,47.3489783894662
405,"San Antonio, Texas",29.4241219,-98.49362819999999,40.562659224477294
406,"Temple, Texas",,,55.2126878758276
407,"Tyler, Texas",,,56.8405845862452
408,"Victoria, Texas",28.8052674,-97.0035982,42.58262739551861
409,"Waco, Texas",31.549333,-97.1466695,36.6299729506909
410,"Wichita Falls, Texas",33.9137085,-98.4933873,43.90451407233371
411,"Millcreek, Utah",40.6868914,-111.8754907,85.1632538594427
412,"Ogden, Utah",41.223,-111.9738304,33.8966501905151
413,"Orem, Utah",40.2968979,-111.6946475,65.31724590185351
414,"Provo, Utah",40.2338438,-111.6585337,44.5067111719556
415,"St. George, Utah",37.0965278,-113.5684164,73.0531164898935
416,"Salt Lake City, Utah",40.7607793,-111.8910474,50.37609569490729
417,"West Jordan, Utah",40.6096698,-111.9391031,77.1143464464677
418,"West Valley City, Utah",,,57.9285726475586
419,"Alexandria, Virginia",,,80.4693334189911
420,"Arlington, Virginia",38.8799697,-77.1067698,81.75301345754158
421,"Chesapeake, Virginia",36.7682088,-76.2874927,77.82658160912071
422,"Hampton, Virginia",37.0298687,-76.34522179999999,61.9396461926791
423,"Lynchburg, Virginia",37.4137536,-79.14224639999999,35.23146149892221
424,"Newport News, Virginia",37.0870821,-76.4730122,59.4664323022079
425,"Norfolk, Virginia",36.8507689,-76.28587259999999,43.07220291787829
426,"Portsmouth, Virginia",36.8354258,-76.2982742,46.7315573369603
427,"Richmond, Virginia",37.5407246,-77.4360481,32.5607990384873
428,"Roanoke, Virginia",37.2709704,-79.9414266,32.5778748933246
429,"Suffolk, Virginia",36.7282054,-76.5835621,54.6187498765422
430,"Virginia Beach, Virginia",,,77.3564204395778
431,"Auburn, Washington",47.30732279999999,-122.2284532,57.0838965326149
432,"Bellevue, Washington",47.6101497,-122.2015159,73.2182606842606
433,"Bellingham, Washington",48.7519112,-122.4786854,47.719853716501596
434,"Everett, Washington",47.9789848,-122.2020794,46.4986944520893
435,"Federal Way, Washington",47.3223221,-122.3126222,64.6931711655145
436,"Kennewick, Washington",46.2112458,-119.1372338,57.9688150557499
437,"Kent, Washington",47.3809335,-122.2348431,50.4513102051075
438,"Renton, Washington",47.48287759999999,-122.2170661,57.2325766728033
439,"Seattle, Washington",47.6062095,-122.3320708,54.324683817742205
440,"Spokane, Washington",47.6587802,-117.4260466,44.8474799377271
441,"Tacoma, Washington",47.2528768,-122.4442906,53.98740919713529
442,"Vancouver, Washington",45.6318397,-122.6716063,54.81547677601829
443,"Yakima, Washington",46.6020711,-120.5058987,38.312596412370794
444,"Green Bay, Wisconsin",44.51915899999999,-88.019826,43.799011275770205
445,"Kenosha, Wisconsin",42.5847425,-87.82118539999999,43.2583364841828
446,"Madison, Wisconsin",43.0730517,-89.4012302,60.094471326287405
447,"Milwaukee, Wisconsin",43.0389025,-87.9064736,24.0846219437995
448,"Racine, Wisconsin",42.7261309,-87.78285230000002,35.7778835161317
449,"Waukesha, Wisconsin",43.0116784,-88.2314813,65.3540996708181
